iteration,loss,suboptimality,grad_norm,optimizer,problem
0,0.0,0.05,1.4142135623730951,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
1,-0.018000000000000002,0.032,1.1313708498984762,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
2,-0.029520000000000005,0.020479999999999998,0.9050966799187806,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
3,-0.0368928,0.0131072,0.7240773439350247,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
4,-0.041611392,0.008388608000000006,0.5792618751480197,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
5,-0.04463129088,0.005368709120000002,0.46340950011841575,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
6,-0.046564026163200004,0.0034359738367999992,0.37072760009473255,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
7,-0.047800976744448,0.0021990232555520045,0.29658208007578596,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
8,-0.04859262511644672,0.001407374883553282,0.2372656640606288,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
9,-0.0490992800745259,0.0009007199254741013,0.18981253124850292,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
10,-0.049423539247696574,0.0005764607523034287,0.15185002499880243,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
11,-0.04963106511852581,0.00036893488147419357,0.12148001999904204,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
12,-0.04976388167585652,0.00023611832414348333,0.09718401599923374,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
13,-0.049848884272548175,0.00015111572745182822,0.07774721279938686,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
14,-0.04990328593443083,9.671406556917284e-05,0.062197770239509544,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
15,-0.04993810299803573,6.189700196427422e-05,0.04975821619160754,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
16,-0.04996038591874287,3.961408125713328e-05,0.039806572953286094,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
17,-0.04997464698799543,2.535301200456974e-05,0.03184525836262891,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
18,-0.04998377407231708,1.622592768292519e-05,0.025476206690103035,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
19,-0.04998961540628293,1.0384593717070734e-05,0.02038096535208252,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
20,-0.04999335386002107,6.6461399789302655e-06,0.01630477228166605,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
21,-0.04999574647041349,4.253529586516203e-06,0.013043817825332744,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
22,-0.04999727774106463,2.7222589353698146e-06,0.010435054260266257,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
23,-0.049998257754281364,1.7422457186389018e-06,0.008348043408213037,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
24,-0.049998884962740076,1.1150372599272318e-06,0.0066784347265703365,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
