iteration,loss,suboptimality,grad_norm,optimizer,problem
0,0.0,0.5,1.4142135623730951,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
1,-0.0198,0.4802,1.3859292911256331,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
2,-0.048369920000000004,0.45163008,1.3440685696793897,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
3,-0.07992955276800001,0.420070447232,1.29625683756268,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
4,-0.11160565961502722,0.3883943403849728,1.2464258347530714,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
5,-0.1420479890137284,0.3579520109862716,1.1965818166532058,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
6,-0.1706800112181855,0.3293199887818145,1.1477281712702088,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
7,-0.19730923810069592,0.3026907618993041,1.1003467851533062,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
8,-0.22192878923052206,0.27807121076947794,1.0546491563917888,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
9,-0.24461765867483948,0.2553823413251605,1.0107073588831943,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
10,-0.26549113232889837,0.23450886767110163,0.9685223129512333,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
11,-0.2846764636306108,0.21532353636938922,0.9280593437262279,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
12,-0.3023011964111545,0.1976988035888455,0.8892666722392009,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
13,-0.3184877868939356,0.1815122131060644,0.8520850030509031,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
14,-0.3333513417126273,0.1666486582873727,0.8164524683957364,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
15,-0.3469988800996652,0.15300111990033483,0.7823071517002381,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
16,-0.3595293262667033,0.1404706737332967,0.7495883503184843,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
17,-0.3710338373750767,0.12896616262492328,0.7182371826212376,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
18,-0.3815962721506702,0.11840372784932979,0.6881968551201896,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
19,-0.391293704877416,0.108706295122584,0.6594127542672618,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
20,-0.40019693917492205,0.09980306082507795,0.6318324487554526,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
21,-0.4083710006377301,0.09162899936226993,0.6054056470244391,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
22,-0.4158755995970518,0.08412440040294822,0.5800841332184434,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
23,-0.42276556121671216,0.07723443878328784,0.5558216936510767,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
24,-0.4290912229810183,0.07090877701898168,0.5325740399943719,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
25,-0.43489880093637967,0.06510119906362033,0.5102987323661321,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
26,-0.4402307265913886,0.05976927340861138,0.48895510390468944,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
27,-0.4451259565512824,0.0548740434487176,0.46850418759587437,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
28,-0.44962025695629365,0.05037974304370635,0.4489086456895494,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
29,-0.45374646470569846,0.04625353529430154,0.43013270182259594,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
30,-0.4575347273279636,0.042465272672036425,0.4121420758526672,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
31,-0.46101272322547,0.03898727677453001,0.3949039213506496,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
32,-0.464205863890952,0.035794136109048025,0.37838676567262786,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
33,-0.4671374795670934,0.032862520432906606,0.3625604525201644,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
34,-0.4698289897027658,0.03017101029723418,0.3473960868935294,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
35,-0.472300059449817,0.02769994055018299,0.33286598234234127,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
36,-0.4745687433430797,0.02543125665692031,0.3189436104199004,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
37,-0.4766516172130023,0.02334838278699769,0.305603552250282,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
38,-0.47856389929451526,0.02143610070548474,0.2928214521204672,heavy_ball_lr0.01_m0.5,quadratic_dim2_A2.0_b1.0
